ω Gem 		07h 02m 24.78s 	+24° 12′ 55.6″
χ Gem 		08h 03m 31.10s 	+27° 47′ 39.9″
φ Gem 		07h 53m 29.84s 	+26° 45′ 57.1″
υ Gem 		07h 35m 55.37s 	+26° 53′ 45.6″
τ Gem 		07h 11m 08.39s 	+30° 14′ 43.0″
σ Gem 		07h 43m 18.69s 	+28° 53′ 02.7″
ρ Gem 		07h 29m 06.61s 	+31° 47′ 02.7″
π Gem 		07h 47m 30.34s 	+33° 24′ 56.8″
ο Gem 		07h 39m 09.96s 	+34° 35′ 04.7″
ξ Gem 		06h 45m 17.43s 	+12° 53′ 45.8″
ν Gem A 	06h 28m 57.79s 	+20° 12′ 43.8″
ν Gem B 	06h 28m 53.70s 	+20° 14′ 20.0″
μ Gem 	 	06h 22m 57.59s 	+22° 30′ 49.9″
λ Gem 	 	07h 18m 05.61s 	+16° 32′ 25.7″
κ Gem 	 	07h 44m 26.87s 	+24° 23′ 53.3″
ι Gem 	 	07h 25m 43.68s 	+27° 47′ 53.8″
θ Gem 	 	06h 52m 47.34s 	+33° 57′ 40.9″
η Gem 	 	06h 14m 52.70s 	+22° 30′ 24.6″
ζ Gem 	 	07h 04m 06.54s 	+20° 34′ 13.1″
ε Gem 	 	06h 43m 55.93s 	+25° 07′ 52.2″
δ Gem 	 	07h 20m 07.39s 	+21° 58′ 56.4″
γ Gem 	 	06h 37m 42.70s 	+16° 23′ 57.9″
Pollux 	 	07h 45m 19.36s 	+28° 01′ 34.7″
Castor C 	07h 34m 37.58s 	+31° 52′ 11.1″
Castor A 	07h 34m 36.00s 	+31° 53′ 19.1″
